latitud_estacion_metro,longitud_estacion_metro
-33.444189549309556,-70.72328852952384
-33.451932518829146,-70.72253845358516
-33.45782628363531,-70.71340300218576
-33.457238155619315,-70.70647458789024
-33.44034407987422,-70.68007346852869
-33.43837571386234,-70.65966481503064
-33.438779178526424,-70.6644951422769
-33.45618932197505,-70.70105403887776
-33.45425589322241,-70.69229129639224
-33.45260420630497,-70.68627641089134
-33.45089438745665,-70.67996522740331
-33.44628142852252,-70.66044474748676
-33.44689594938742,-70.66424485207686
-33.44965177324104,-70.67436591164551
-33.43758597047837,-70.65075794920324
-33.43629864116311,-70.64327414039111
-33.43730941075104,-70.633288271414
-33.44524515807489,-70.65578102695167
-33.4442955966118,-70.65172205635164
-33.44298519509696,-70.6464588815257
-33.4407987487585,-70.64102964039539
-33.43307385942894,-70.65323274374421
-33.45365532429172,-70.65835129227979
-33.46043526870994,-70.65642683405792
-33.47647803000302,-70.64919275384385
-33.48196909465933,-70.64972412432604
-33.48891854873103,-70.65079498175756
-33.49649825239133,-70.65282712403021
-33.50343352862426,-70.65495578685567
-33.5116936917353,-70.65707807917164
-33.51798591758569,-70.65908506570588
-33.526644764157545,-70.6612634875271
-33.53756617471398,-70.66419529590948
-33.441379189014256,-70.63219788525498
-33.44715219551061,-70.63026392030602
-33.45245081076455,-70.62904069457404
-33.467170357440985,-70.6249128167889
-33.47668936767582,-70.62247115773769
-33.486301994065585,-70.61916577111683
-33.49615506864477,-70.6164085931574
-33.50797300728352,-70.61318302312738
-33.51310933643454,-70.60613076712292
-33.52068055036971,-70.59871799410178
-33.42263792481094,-70.6089251611236
-33.42566269312535,-70.61380037364488
-33.41848622997368,-70.60166418014235
-33.43414408096023,-70.62619970018658
-33.42897420029763,-70.61938760261887
-33.415359528873935,-70.58968089686255
-33.416577676003065,-70.5955702059519
-33.41418382170818,-70.58431103804168
-33.526495555114515,-70.59650214798631
-33.53556260606662,-70.59283704932575
-33.54712195229193,-70.58768094384216
-33.56459178783087,-70.58444427665698
-33.576096512545114,-70.58194550795794
-33.568952353188244,-70.5837043561629
-33.594157460037216,-70.57881546970526
-33.5858551386495,-70.58026259255017
-33.609370237575504,-70.57584868315624
-33.43171755265378,-70.58482862526598
-33.426529571086014,-70.5912090291461
-33.438103200310486,-70.5735397454335
-33.448024678651564,-70.57171470464502
-33.453481926758634,-70.57080914545288
-33.45904772986842,-70.57220348493632
-33.46890618647315,-70.57631966543632
-33.48140457347375,-70.5792275378416
-33.487770046836275,-70.58013370698073
-33.50028804030355,-70.58711721991176
-33.50788092466,-70.58988629083325
-33.52184354577839,-70.59751378093016
-33.53117934363066,-70.60544235085823
-33.53764932324176,-70.6099648126666
-33.542515496558195,-70.6341413946416
-33.54120466217817,-70.6433162307882
-33.429662678660804,-70.64704394118988
-33.42218172563519,-70.6449483392731
-33.46997520724521,-70.65594218292347
-33.41403811635104,-70.64337335424972
-33.40660248365646,-70.64302692600076
-33.39701812725188,-70.64267766020937
-33.390981072199295,-70.64240921013557
-33.380196758527426,-70.64651392624596
-33.40775358261516,-70.55687432411571
-33.40914086739998,-70.56842913809729
-33.40789402608388,-70.54484983527364
-33.51049059717951,-70.75716585024223
-33.3665086683468,-70.689431672253
-33.385926918879214,-70.6793259801501
-33.37361080212686,-70.68643043595216
-33.39792391085145,-70.66977287266558
-33.40651726268605,-70.66112016263298
-33.41777367512678,-70.65628012998918
-33.45184866446883,-70.6505696483649
-33.45835663447363,-70.64334455688713
-33.45478743992966,-70.59835978316292
-33.45324530942035,-70.61367311247831
-33.45474987701318,-70.58018760569485
-33.454169455222015,-70.60500803349137
-33.45218691477035,-70.55895772256848
-33.43856173347393,-70.60756030093363
-33.46245745283688,-70.60638739077235
-33.476356227947754,-70.64218611162242
-33.47639623822191,-70.66511505360212
-33.4762926087901,-70.6802960685304
-33.452441447945255,-70.73917620108789
-33.462817522300575,-70.73781355786306
-33.475314412504645,-70.7397283084099
-33.482138735395736,-70.74513092998079
-33.488947941259674,-70.7520933538652
-33.49638971976205,-70.75738031728308
-33.44311125666831,-70.71574027340128
-33.43808793481053,-70.69118748893665
-33.44144182768382,-70.70718139911278
-33.444732794953225,-70.7406491012186
-33.48330882518657,-70.69529249972699
