precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud
322633576,3.0,5.0,404.0,275.0,1.0,-33.3454678,-70.678398
124089837,3.0,3.0,102.0,27.0,1.0,-33.5631603,-70.7766087
157180460,2.0,3.0,190.0,127.0,1.0,-33.5630254,-70.5594247
133544301,2.0,5.0,146.0,61.0,1.0,-33.6416785,-70.6898722
117786861,2.0,3.0,145.0,82.0,1.0,-33.613778,-70.8874497
153241100,4.0,4.0,172.0,82.0,1.0,-33.360659,-70.7092088
247000000,3.0,4.0,196.0,56.0,1.0,-33.5234679,-70.6528083
97302190,1.0,2.0,170.0,110.0,1.0,-33.6883029,-71.2089514
299391353,3.0,4.0,5100.0,4869.0,1.0,-33.0281558,-70.6883128
728781583,4.0,4.0,450.0,250.0,1.0,-33.339664,-70.4984763
342724312,3.0,4.0,509.0,366.0,1.0,-33.51788,-70.52611
902113418,5.0,5.0,352.0,152.0,1.0,-33.3591645,-70.535758
433329590,4.0,6.0,518.0,303.0,1.0,-33.3412698,-70.6645928
870598539,5.0,5.0,997.0,672.0,1.0,-33.2773261,-70.6217738
464844469,3.0,4.0,5050.0,4870.0,1.0,-33.3043728,-70.7028619
121253498,2.0,3.0,102.0,21.0,1.0,-33.54068,-70.772068
1138475013,4.0,4.0,902.0,635.0,1.0,-33.3398845,-70.5031183
429390230,2.0,4.0,241.0,101.0,1.0,-33.4269148,-70.5420106
468783829,3.0,5.0,286.0,121.0,1.0,-33.4085387,-70.5394232
456965749,2.0,3.0,250.0,100.0,1.0,-33.4181647,-70.5513944
151665356,2.0,3.0,137.0,57.0,1.0,-33.5580126,-70.5553648
295058057,3.0,4.0,200.0,85.0,1.0,-33.4794555,-70.5451342
93087075,1.0,3.0,190.0,98.0,1.0,-33.5879774,-70.6876012
464844469,4.0,4.0,500.0,340.0,1.0,-33.2302305,-70.6863251
413632790,3.0,4.0,129.0,9.0,1.0,-33.4162203,-70.5532734
468389893,5.0,4.0,450.0,210.0,1.0,-33.3560619,-70.6636662
271421897,3.0,3.0,250.0,136.0,1.0,-33.512314,-70.5239369
464844469,3.0,3.0,170.0,-930.0,1.0,-33.5586945,-70.7713467
190000000,2.0,4.0,18156.0,0.0,1.0,-33.5069029,-70.6715788
586964626,4.0,4.0,480.0,299.0,1.0,-33.4417531,-70.5379334
122120157,2.0,3.0,116.0,46.0,1.0,-33.7395257,-70.7487829
640145985,5.0,5.0,290.0,92.0,1.0,-33.3934613,-70.5686303
1299988769,4.0,5.0,4350.0,3990.0,1.0,-33.4396283,-70.5189084
161907692,2.0,5.0,199.0,59.0,1.0,-33.5374417,-70.6707526
713024143,4.0,5.0,412.0,227.0,1.0,-33.4340909,-70.5202415
689387983,4.0,5.0,520.0,310.0,1.0,-33.443874,-70.5504901
291512633,2.0,5.0,211.0,73.0,1.0,-33.4758432,-70.5517329
512116788,4.0,4.0,210.0,85.0,1.0,-33.430857,-70.5714874
1418169566,6.0,6.0,1487.0,1087.0,1.0,-33.334649,-70.5247339
665751824,3.0,4.0,4783.0,4468.0,1.0,-33.2297054,-70.7126176
267482538,3.0,3.0,210.0,70.0,1.0,-33.3532887,-70.6745087
1098687478,5.0,7.0,1618.0,1278.0,1.0,-33.368683,-70.494886
776053901,5.0,4.0,5000.0,4646.0,1.0,-33.2787908,-70.7054993
352791346,4.0,4.0,5211.0,5051.0,1.0,-33.7075654,-70.8501028
1024233575,5.0,5.0,8861.0,-27873.0,1.0,-33.4410324,-70.5242301
429390230,3.0,6.0,5940.0,5607.0,1.0,-33.7794601,-70.8143432
157574396,3.0,4.0,222.0,114.0,1.0,-33.4487309,-70.7107965
531813587,4.0,5.0,416.0,266.0,1.0,-33.4825889,-70.5403398
744539022,5.0,6.0,750.0,480.0,1.0,-33.2589303,-70.6246892
507389556,2.0,3.0,6102.0,5883.0,1.0,-33.6437064,-70.8211821
823326220,5.0,5.0,1030.0,763.0,1.0,-33.3053641,-70.6605545
249755418,3.0,4.0,260.0,121.0,1.0,-33.2141612,-70.6829046
314754856,3.0,4.0,5000.0,4796.0,1.0,-33.8529541,-70.6536856
