precio,banos,dormitorios,superficie_total,superficie_construida,estacionamiento,latitud,longitud,comuna
322633576.0,3.0,5.0,404.0,275.0,1.0,-33.3454678,-70.678398,Huechuraba
124089837.0,3.0,3.0,102.0,27.0,1.0,-33.5631603,-70.7766087,Maipú
157180460.0,2.0,3.0,190.0,127.0,1.0,-33.5630254,-70.5594247,Puente Alto
133544301.0,2.0,5.0,146.0,61.0,1.0,-33.6416785,-70.6898722,San Bernardo
117786861.0,2.0,3.0,145.0,82.0,1.0,-33.613778,-70.8874497,Peñaflor
153241100.0,4.0,4.0,172.0,82.0,1.0,-33.360659,-70.7092088,Quilicura
247000000.0,3.0,4.0,196.0,56.0,1.0,-33.5234679,-70.6528083,La Cisterna
97302190.0,1.0,2.0,170.0,110.0,1.0,-33.6883029,-71.2089514,Melipilla
299391353.0,3.0,4.0,5100.0,4869.0,1.0,-33.0281558,-70.6883128,Colina
728781583.0,4.0,4.0,450.0,250.0,1.0,-33.339664,-70.4984763,Lo Barnechea
342724312.0,3.0,4.0,509.0,366.0,1.0,-33.51788,-70.52611,La Florida
902113418.0,5.0,5.0,352.0,152.0,1.0,-33.3591645,-70.535758,Lo Barnechea
433329590.0,4.0,6.0,518.0,303.0,1.0,-33.3412698,-70.6645928,Huechuraba
870598539.0,5.0,5.0,997.0,672.0,1.0,-33.2773261,-70.6217738,Colina
464844469.0,3.0,4.0,5050.0,4870.0,1.0,-33.3043728,-70.7028619,Colina
121253498.0,2.0,3.0,102.0,21.0,1.0,-33.54068,-70.772068,Maipú
1138475013.0,4.0,4.0,902.0,635.0,1.0,-33.3398845,-70.5031183,Lo Barnechea
429390230.0,2.0,4.0,241.0,101.0,1.0,-33.4269148,-70.5420106,Las Condes
468783829.0,3.0,5.0,286.0,121.0,1.0,-33.4085387,-70.5394232,Las Condes
456965749.0,2.0,3.0,250.0,100.0,1.0,-33.4181647,-70.5513944,Las Condes
151665356.0,2.0,3.0,137.0,57.0,1.0,-33.5580126,-70.5553648,Puente Alto
295058057.0,3.0,4.0,200.0,85.0,1.0,-33.4794555,-70.5451342,Peñalolén
93087075.0,1.0,3.0,190.0,98.0,1.0,-33.5879774,-70.6876012,San Bernardo
464844469.0,4.0,4.0,500.0,340.0,1.0,-33.2302305,-70.6863251,Colina
413632790.0,3.0,4.0,129.0,9.0,1.0,-33.4162203,-70.5532734,Las Condes
468389893.0,5.0,4.0,450.0,210.0,1.0,-33.3560619,-70.6636662,Huechuraba
271421897.0,3.0,3.0,250.0,136.0,1.0,-33.512314,-70.5239369,La Florida
464844469.0,3.0,3.0,170.0,-930.0,1.0,-33.5586945,-70.7713467,Maipú
190000000.0,2.0,4.0,18156.0,0.0,1.0,-33.5069029,-70.6715788,Pedro Aguirre Cerda
586964626.0,4.0,4.0,480.0,299.0,1.0,-33.4417531,-70.5379334,La Reina
122120157.0,2.0,3.0,116.0,46.0,1.0,-33.7395257,-70.7487829,Buin
640145985.0,5.0,5.0,290.0,92.0,1.0,-33.3934613,-70.5686303,Vitacura
1299988769.0,4.0,5.0,4350.0,3990.0,1.0,-33.4396283,-70.5189084,La Reina
161907692.0,2.0,5.0,199.0,59.0,1.0,-33.5374417,-70.6707526,La Cisterna
