precio,matrícula particular pagado 2024,superficie_total,simce 4to básico lectura 2022,superficie_construida,banos,longitud,simce 4to básico matemáticas 2022,distancia_metro,latitud,distancia_hospital,ingreso_promedio,dormitorios,extranjeros 2025 (%),pobreza multidimensional 2022 (%),pobreza por ingresos 2022 (%),hogares hacinados 2025 (%),trabajadores_información_comunicaciones_2023,trabajadores_financieras_seguros_2023,matrícula subvencionada 2024,empresas_otras_actividades_2023
322633576.0,6810.0,404.0,285.0,275.0,3.0,-70.678398,274.0,2554.229150360543,-33.3454678,8064.787022969082,720051.66,5.0,6.4,18.6,4.3,8.8,16518.0,3273.0,4724.0,487.0
157180460.0,4221.0,190.0,279.0,127.0,2.0,-70.5594247,268.0,2324.734493218021,-33.5630254,845.0947295257199,538232.86,3.0,3.6,18.9,5.0,7.2,658.0,75.0,84429.0,1922.0
133544301.0,3215.0,146.0,273.0,61.0,2.0,-70.6898722,258.0,11151.8469588954,-33.6416785,5475.616211056455,488733.18,5.0,5.4,18.7,6.0,9.0,498.0,88.0,38599.0,843.0
117786861.0,769.0,145.0,273.0,82.0,2.0,-70.8874497,256.0,16662.32119907219,-33.613778,1600.028166026956,591753.35,3.0,3.0,15.1,7.3,8.1,93.0,19.0,12798.0,299.0
153241100.0,2732.0,172.0,283.0,82.0,4.0,-70.7092088,269.0,1948.4722053103808,-33.360659,7622.326771964539,549642.87,4.0,13.0,17.0,5.2,8.7,861.0,367.0,33726.0,660.0
247000000.0,0.0,196.0,276.0,56.0,3.0,-70.6528083,261.0,842.6996465981864,-33.5234679,3624.683260602918,635863.9,4.0,14.2,13.5,4.1,6.1,1972.0,82.0,22906.0,490.0
97302190.0,2244.0,170.0,277.0,110.0,1.0,-71.2089514,262.0,46279.23461436178,-33.6883029,937.1075262317486,497911.08,2.0,5.6,22.8,7.6,8.3,333.0,151.0,16499.0,319.0
728781583.0,15898.0,450.0,302.0,250.0,4.0,-70.4984763,296.0,8723.721979261825,-33.339664,13260.888832292554,1569078.92,4.0,8.4,10.9,0.9,8.2,842.0,1472.0,4397.0,971.0
342724312.0,6790.0,509.0,280.0,366.0,3.0,-70.52611,266.0,5984.933554942444,-33.51788,5273.077647054135,652074.18,4.0,7.7,13.2,3.5,6.9,2483.0,1426.0,52545.0,1675.0
433329590.0,6810.0,518.0,285.0,303.0,4.0,-70.6645928,274.0,3632.972496432016,-33.3412698,8282.848057047288,720051.66,6.0,6.4,18.6,4.3,8.8,16518.0,3273.0,4724.0,487.0
870598539.0,14154.0,997.0,295.0,672.0,5.0,-70.6217738,284.0,11667.34667258305,-33.2773261,15654.745561237109,606708.62,5.0,10.7,24.6,5.1,9.0,673.0,212.0,15689.0,612.0
429390230.0,29882.0,241.0,308.0,101.0,2.0,-70.5420106,298.0,2131.3664494065297,-33.4269148,4538.795182961881,1806493.23,4.0,7.8,4.4,0.9,3.3,58742.0,91650.0,5710.0,5417.0
468783829.0,29882.0,286.0,308.0,121.0,3.0,-70.5394232,298.0,508.7867409168563,-33.4085387,6210.85940843928,1806493.23,5.0,7.8,4.4,0.9,3.3,58742.0,91650.0,5710.0,5417.0
456965749.0,29882.0,250.0,308.0,100.0,2.0,-70.5513944,298.0,1264.4719133524256,-33.4181647,4991.531032218254,1806493.23,3.0,7.8,4.4,0.9,3.3,58742.0,91650.0,5710.0,5417.0
151665356.0,4221.0,137.0,279.0,57.0,2.0,-70.5553648,268.0,2791.9997164034244,-33.5580126,1267.2149477015394,538232.86,3.0,3.6,18.9,5.0,7.2,658.0,75.0,84429.0,1922.0
295058057.0,12208.0,200.0,284.0,85.0,3.0,-70.5451342,269.0,3121.306115559016,-33.4794555,3120.550831061706,688929.75,4.0,6.8,16.6,3.2,8.5,310.0,106.0,17188.0,867.0
93087075.0,3215.0,190.0,273.0,98.0,1.0,-70.6876012,258.0,6010.376743652154,-33.5879774,1055.6382809820386,488733.18,3.0,5.4,18.7,6.0,9.0,498.0,88.0,38599.0,843.0
464844469.0,14154.0,500.0,295.0,340.0,4.0,-70.6863251,284.0,15156.191234337715,-33.2302305,20786.327540186023,606708.62,4.0,10.7,24.6,5.1,9.0,673.0,212.0,15689.0,612.0
468389893.0,6810.0,450.0,285.0,210.0,5.0,-70.6636662,274.0,2659.948994924484,-33.3560619,6638.838266851446,720051.66,4.0,6.4,18.6,4.3,8.8,16518.0,3273.0,4724.0,487.0
271421897.0,6790.0,250.0,280.0,136.0,3.0,-70.5239369,266.0,5882.22657482517,-33.512314,5286.175250049373,652074.18,3.0,7.7,13.2,3.5,6.9,2483.0,1426.0,52545.0,1675.0
586964626.0,12536.0,480.0,296.0,299.0,4.0,-70.5379334,286.0,2269.596877867193,-33.4417531,3621.5058820346,1405329.49,4.0,6.3,4.9,1.6,5.1,3640.0,289.0,6585.0,725.0
122120157.0,4595.0,116.0,275.0,46.0,2.0,-70.7487829,261.0,21576.47683935085,-33.7395257,1035.288438977023,512481.5,3.0,4.4,19.1,4.4,8.6,146.0,72.0,9050.0,368.0
640145985.0,15240.0,290.0,311.0,92.0,5.0,-70.5686303,302.0,1743.5883472232515,-33.3934613,4419.340046819794,2587577.69,5.0,6.6,2.4,0.9,1.8,6837.0,4346.0,516.0,1473.0
161907692.0,0.0,199.0,276.0,59.0,2.0,-70.6707526,261.0,607.9126628447309,-33.5374417,3710.457864753225,635863.9,5.0,14.2,13.5,4.1,6.1,1972.0,82.0,22906.0,490.0
713024143.0,12536.0,412.0,296.0,227.0,4.0,-70.5202415,286.0,3701.533700699263,-33.4340909,5460.221436284918,1405329.49,5.0,6.3,4.9,1.6,5.1,3640.0,289.0,6585.0,725.0
689387983.0,12536.0,520.0,296.0,310.0,4.0,-70.5504901,286.0,1213.108337927705,-33.443874,2576.61617235203,1405329.49,5.0,6.3,4.9,1.6,5.1,3640.0,289.0,6585.0,725.0
291512633.0,12208.0,211.0,284.0,73.0,2.0,-70.5517329,269.0,2407.42835230318,-33.4758432,2401.1282054327394,688929.75,5.0,6.8,16.6,3.2,8.5,310.0,106.0,17188.0,867.0
512116788.0,29882.0,210.0,308.0,85.0,4.0,-70.5714874,298.0,827.941736193275,-33.430857,3294.3634895660225,1806493.23,4.0,7.8,4.4,0.9,3.3,58742.0,91650.0,5710.0,5417.0
267482538.0,6810.0,210.0,285.0,70.0,3.0,-70.6745087,274.0,2020.3319402692912,-33.3532887,7131.023863056184,720051.66,3.0,6.4,18.6,4.3,8.8,16518.0,3273.0,4724.0,487.0
157574396.0,0.0,222.0,279.0,114.0,3.0,-70.7107965,269.0,775.1568491889815,-33.4487309,3016.166383374088,428363.83,4.0,11.7,19.3,5.3,10.1,27.0,5.0,6457.0,263.0
531813587.0,12208.0,416.0,284.0,266.0,4.0,-70.5403398,269.0,3608.974877173584,-33.4825889,3683.9579544509593,688929.75,5.0,6.8,16.6,3.2,8.5,310.0,106.0,17188.0,867.0
744539022.0,14154.0,750.0,295.0,480.0,5.0,-70.6246892,284.0,13389.819168699652,-33.2589303,17619.164281259236,606708.62,6.0,10.7,24.6,5.1,9.0,673.0,212.0,15689.0,612.0
249755418.0,14154.0,260.0,295.0,121.0,3.0,-70.6829046,284.0,16951.125457056132,-33.2141612,22518.36521884714,606708.62,4.0,10.7,24.6,5.1,9.0,673.0,212.0,15689.0,612.0
