"id","url","precio","superficie_total","superficie_util","dormitorios","baños","estacionamientos","latitud","longitud","descripcion"
"1","https://casa.mercadolibre.cl/MLC-2921986882-casa-remodelada-con-piscina-y-quincho-5d-3b-huechuraba-_JM#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","322633576","404","129","5","3","2","-33.3454678","-70.678398","Amplia y cómoda casa aislada de 2 pisos, ideal para familias que buscan espacios generosos y tranquilidad. Con 5 dormitorios, incluyendo dormitorio principal en suite, y un amplio patio trasero con piscina, quincho y terraza, esta propiedad es perfecta para disfrutar en familia. |  | Características principales: |  | Dormitorios: 5 | Baños: 3 | Superficie total: 404 m2 | Superficie construida: 129 m2 + ampliaciones | Sala de estar | Living y comedor independientes | Cocina con logia | Patio trasero con piscina, quincho y terraza | Estacionamiento para 2 vehículos en antejardín |  | Precio: UF 8.190.- + 2% de comisión más IVA |  | ¡No deje de visitar! Contáctenos para más detalles o agendar una visita. |  | Waler 7828, Huechuraba | ROL: 88-56"
"2","https://casa.mercadolibre.cl/MLC-1624891305-casa-remodelada-lista-para-habitar-3d-3b-maipu-_JM#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","124089837","102","75","3","3","1","-33.5631603","-70.7766087","CASA RECIÉN REMODELADA EN MAIPÚ (3D-3B) | Canal Las Mercedes 2020, Maipú |  | ¡Excelente oportunidad para vivir en una casa recién remodelada, moderna y funcional! Esta propiedad combina comodidad, seguridad y un entorno ideal para la vida familiar. |  | CARACTERÍSTICAS: | 102 m2 de terreno | 75 m2 construidos útiles | 3 dormitorios | 3 baños | Cocina completamente nueva | Piso flotante nuevo | Pintura interior y exterior recién aplicada | Antejardín con estacionamiento para 1 vehículo | Patio trasero | Año construcción: 2005 | Contribuciones: $24.000 aprox. |  | Precio: UF 3.150 + comisión (2%) |  | ¡Solo tienes que llegar y habitar! Esta casa es perfecta para quienes quieren evitar remodelaciones y disfrutar de un ambiente fresco y renovado desde el primer día. |  | Contáctanos por WhatsApp y agenda tu visita. ¡No dejes pasar esta oportunidad! |  | Canal Las Mercedes 2020, Maipú | ROL: 6221-71"
"3","https://casa.mercadolibre.cl/MLC-2921842648-acogedora-casa-full-remodelada-3d-2b-bailen-puente-alto-_JM#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","157180460","190","63","3","2","1","-33.5630254","-70.5594247","¡FULL REMODELADA Y LISTA PARA HABITAR! – PUENTE ALTO (3D-2B) | Bailén 05432, Puente Alto |  | ¡No pierdas la oportunidad de vivir en una casa completamente renovada, con excelentes terminaciones y ubicada en un pasaje cerrado y seguro! Esta propiedad es ideal para quienes buscan confort, diseño moderno y un espacio acogedor para su familia. |  | CARACTERÍSTICAS: | 190 m² de terreno | 63 m² útiles | 3 dormitorios | 2 baños | Amplia cocina nueva con cubierta de granito | Quincho perfecto para compartir | Logia y entrada de auto | Piso y pintura nuevos | Año construcción: 1999 (remodelada en 2025) | Contribuciones: $50.000 aprox. |  | Precio: UF 3.990 + comisión (2% + IVA) |  | Una casa pensada para disfrutar desde el primer día. Remodelada a nuevo, con terminaciones modernas y funcionales. ¡Solo debes traer tus cosas y comenzar a vivirla! |  | Contáctanos y agenda tu visita por WhatsApp. ¡No dejes pasar esta excelente oportunidad! |  | ROL: 8935 - 47"
"4","https://casa.mercadolibre.cl/MLC-2931641122-casa-en-los-prados-de-nos-5d-2b-san-bernardo-_JM#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","133544301","146","85","5","2","1","-33.6416785","-70.6898722","Casa remodelada en el tranquilo y seguro barrio residencial Los Prados de Nos, con control de acceso. La propiedad cuenta con 5 dormitorios, espacios bien distribuidos y mejoras recientes, como piso flotante, pintura y muebles de cocina nuevos. Además, se encuentra frente a una plaza, ofreciendo un entorno ideal para la familia. |  | -Características principales: | Dormitorios: 5 (2 en ampliación de 20 m² sin recepción) | Baños: 2 | Superficie total: 146 m² | Superficie construida: 85 m² | Mini bodega | Estacionamiento | Antejardín y patio trasero |  | -Distribución: | Primer piso: Living-comedor, cocina, 2 dormitorios, 1 baño. | Segundo piso: 3 dormitorios, 1 baño, mini bodega. |  | -Detalles adicionales: | Año de construcción: 2011 | Contribuciones: $44.000 aprox. | Gastos comunes: Voluntarios |  | -Atractivos cercanos: | Paradero de micro | Estación Nos | Mall Plaza Sur | Supermercados y comercios | Colegios en el sector | Áreas verdes y plazas |  | -Precio: UF 3.390 + comisión (2% + IVA) |  | ¡No pierdas la oportunidad de conocer esta propiedad! Contáctanos para coordinar una visita. |  | Pasaje Livorno Norte 982, San Bernardo | ROL: 6485-9"
"5","https://casa.mercadolibre.cl/MLC-2931589164-casa-remodelada-en-condominio-las-flores-3d-2b-penaflor-_JM#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","117786861","145","63","3","2","1","-33.613778","-70.8874497","¡Oportunidad única en Condominio Las Flores! Casa remodelada con pintura nueva, piso flotante renovado, baños refaccionados y cocina actualizada. ¡Lista para habitar! |  | Características principales: | Terreno: 145 m² | Superficie construida: 66 m² | Dormitorios: 3 | Baños: 2 | Cocina | Logia | Antejardín | Patio | Estacionamiento |  | Detalles adicionales: | Año de construcción: 2016 | Gastos comunes: $40.000 aprox. | Contribuciones: $33.000 aprox. |  | Precio: UF 2.990 + 2% de comisión |  | ¡No deje pasar esta oportunidad! Contáctenos para más detalles o coordinar una visita. |  | Pedro Correa 288, Peñaflor | ROL: 306-293"
"6","https://casa.mercadolibre.cl/MLC-2931641084-casa-remodelada-en-santo-tomas-4dorm-4banos-quilicura-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","153241100","172","90","4","4","1","-33.360659","-70.7092088","¡Oportunidad Única! Impecable Casa Remodelada en Excelente Ubicación |  | ¿Buscas una casa lista para mudarte, con todos los detalles pensados para tu comodidad y disfrute? Esta propiedad totalmente remodelada es todo lo que necesitas. Con cocina nueva, baños renovados, piso flotante de alta calidad y reciente pintura, te ofrece un espacio moderno y acogedor. Además, cuenta con un horno de barro y una amplia zona de quincho para disfrutar de momentos inolvidables al aire libre. |  | Características principales: |  | 4 Dormitorios amplios y luminosos |  | 4 Baños con terminaciones de calidad |  | Superficie total: 172 m² |  | Superficie construida: 90 m² recepcionados + ampliaciones |  | Cocina completamente remodelada, ideal para los amantes de la cocina |  | Living-comedor espacioso y cómodo |  | Zona de quincho con horno de barro, perfecta para reuniones familiares |  | Patio trasero para disfrutar del aire libre |  | Detalles adicionales: |  | Contribuciones: $66.000 aprox. |  | Año de construcción: 2014, con mejoras recientes |  | Precio: UF 3.890.- + comisión (2% + IVA) |  | ¡Esta es tu oportunidad para vivir en una casa de calidad, completamente renovada y con espacios para disfrutar en familia y amigos! No pierdas tiempo y contáctanos para agendar tu visita. ¡No dejes pasar esta excelente oferta! |  | Santo Tomás 232, C5, Quilicura | ROL: 1055-17"
"7","https://casa.mercadolibre.cl/MLC-2933257338-se-vende-linda-casa-4d-3b-20-gran-avenida-la-cisterna-_JM#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","247000000","196","140","4","3","2","-33.5234679","-70.6528083","Se vende amplia y linda casa con 4 dormitorios y 3 baños en suites, su orientación es oriente por lo que recibe el sol de la mañana, siendo fresca en la tarde. | * Toda la Construcción es de material sólido, 140 mts 2 construido, en dos pisos | * Superficie total 200 mts2, casi 130 de terreno disponible entre antejardin, y patios laterales, para ser usados como espacios recreativos. | * Cuenta con living comedor, una sala de estar, cocina comedor de diario, 4 dormitorios con 3 baños en suites. | * Estacionamiento techado para dos vehículos. | * Con reja y protección en las ventanas. | * Piso de cerámica en el primer piso y baños, , el segundo piso tiene alfombra | * La casa se construyo el 2000, cuenta con planos y documentación al día , llegar y vender | * Se ubica en un barrio residencial de la Gran Avenida, altura paradero 20, con movilización a 100 metros (buses y colectivos). | * Metro El Parrón y Metro Lo Ovalle aproximadamente a 800 metros. | * Gran Avenida a 400 metros, comercio, colegios, supermercados, centros asistenciales ... todo cerca. | * Barrio tranquilo, vecinos de toda la vida Verdaderos interesados solicitar mayor información"
"8","https://casa.mercadolibre.cl/MLC-2933682344-vendo-bella-casa-sector-centrico-tranquilo-y-residencial-_JM#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","97302190","170","60","2","1","2","-33.6883029","-71.2089514","VENDO BELLA CASA SECTOR CENTRICO, TRANQUILO Y RESIDENCIAL. Un piso, 2 dormitorios, 1 baño completo, living comedor, cocina, logia, patio interior amplio ideal para ampliarla. Ademas ideal para realizar un segundo piso, papeles al día y regularizada. Ubicada en excelente y apacible barrio con vecinos organizados. |  | A pasos del centro de Melipilla. | Se acepta hipotecario preaprobado, contado, etc. Disponibilidad inmediata."
"9","https://casa.mercadolibre.cl/MLC-1624294895-parcela-hacienda-chacabuco-trato-directo-duena-_JM#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","299391353","5100","231","4","3","10","-33.0281558","-70.6883128","¡Hermosa casa en venta como nueva! Con 4 dormitorios y 3 baños, esta espaciosa propiedad es perfecta para tu familia. Situada en un terreno de 5100metros cuadrados, con 231 metros cuadrados construidos, ofrece amplitud y comodidad. ¡No pierdas la oportunidad de hacer de esta casa tu nuevo hogar! En condominio seguridad 24/7. Hacienda Chacabuco |  | Recientemente remodelada, piscina, muebles de cocina, aire acondicionado, árboles frutales | Condominio con laguna club ecuestre, alcantarillado, agua potable y electricidad, calles pavimentadas, cableado subterráneo.- | Tasación sobre UF 11.000.- | directo dueña.- |  | Contáctame para más detalles. |  | Natalia Muñoz Arriagada. | +56961343658"
"10","https://casa.mercadolibre.cl/MLC-1629527887-oportunidad-casa-100-remodelada-_JM#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","728781583","450","200","4","4","2","-33.339664","-70.4984763","¡ARRIENDO CON OPCIÓN DE COMPRA! Moderna casa recién remodelada de 3 pisos con espectacular vista en Lo Barnechea. |  | Se ofrece en arriendo con opción de venta una exclusiva propiedad recién remodelada de 180 m² interiores y 40 m² de terraza, emplazada en un amplio terreno de 450 m² de patio, con una vista inigualable a todo Santiago. |  | Distribución: |  | * 1 dormitorio principal en suite. | * 2 dormitorios adicionales. | * 1 baño completo. | * 1 baño de visitas. | * 1 dormitorio de servicio con baño propio. |  | Características destacadas: |  | * Piso flotante en áreas principales, porcelanato en cocina y loggia. | * Cocina equipada con cubierta de granito y amplio espacio de almacenamiento. | * Sistema de climatización DualClima (frío/calor) en todas las habitaciones, living y comedor. | * Ventanas de termopanel, que brindan aislamiento térmico y acústico. | * Terraza techada con quincho equipado y cubierta de granito. | * Piscina con sistema de bomba y filtro. | * 2 estacionamientos internos. | * Servicio de vigilancia 24/7 con cámaras de seguridad y conserjería en acceso. |  | Entorno y conectividad: |  | * Cercano a prestigiosos colegios como Mayflower School y Nido de Águilas | * Próximo a supermercados, Portal La Dehesa y Club de Golf La Dehesa | * Excelente conectividad a vías principales y servicios |  | Ideal para quienes buscan comodidad, seguridad y un entorno exclusivo en Lo Barnechea. |  | *Las fotos son del proceso de remodelación."
"11","https://casa.mercadolibre.cl/MLC-2902268036-espectacular-casa-en-venta-4-dormitorios-y-3-banos-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","342724312","509","143","4","3","2","-33.51788","-70.52611","Amplia y cómoda casa en venta, del año 2014, de dos pisos, independiente. Posee 143 m2 construidos y 509 m2 de terreno aproximadamente, con amplios espacios, luminosa, con orientación oriente en patio. |  | La propiedad se ubica en seguro sector residencial de la comuna de La Florida, en condominio cerrado con seguridad 24/7. Cercana a colegios, jardines infantiles, supermercados, y a pocos minutos de centros comerciales. Propiedad goza de un entorno privilegiado, rodeado de parques y áreas verdes, y a pocos minutos de senderos cordilleranos, para disfrutar del aire libre, trekking y descenso en bicicleta."
"12","https://casa.mercadolibre.cl/MLC-2917367350-casa-en-parque-los-castanos-con-piscina-y-quincho-_JM#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","902113418","352","200","5","5","2","-33.3591645","-70.535758","CARACTERÍSTICAS PRINCIPALES: | 5 dormitorios (incluye dormitorio de servicio) + posibilidad de 6 dormitorio | 5 baños (incluye baño de servicio y de visita) | Cocina ampliada y completamente remodelada | Living y comedor separados con excelente luz natural | Ventanas con termopanel en toda la casa | Lavadero y bodega independiente | Segundo piso con aire acondicionado |  | Primer piso: Hall de entrada con closet de visita. Baño de visita. Living y comedor separados con salida a terraza. Dormitorio principal en suite con walk in closet. Cocina con comedor de diario. Dormitorio y baño de servicio. |  | Segundo piso: Gran sala de estar. 3 Dormitorios con closet. 2 Baños completos. Lugar para un cuarto dormitorio |  | EXTERIOR: | Piscina con paneles solares para calefacción | Quincho techado y terraza | Jardín con riego automático | 2 estacionamientos |  | ENTORNO Y COMUNIDAD | Casa no perimetral, ubicada en pasaje cerrado de solo 20 casas | Plaza con juegos infantiles a pasos | Cercano a colegios (Newland, Everest, Huinganal, Monte Tabor), Clínica MEDS y Mall Vivo Los Trapenses |  | VENTA DIRECTA POR DUEÑOS. Sin comisión de corredor"
"13","https://casa.mercadolibre.cl/MLC-1618175469-casa-en-condominio-seguridad-24-horas-_JM#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=86e048f4-8629-40d6-b718-8c6a017dfd4a","433329590","518","215","6","4","4","-33.3412698","-70.6645928","VENDE SU DUEÑO |  | Impecable casa tipo Chilena dentro se condominio!!!!! con doble acceso de seguridad 24/7, parque central, cercano a jardín infantil, Stripcenter Mag, colegios, restaurantes. |  | Primer piso: Hall de acceso, puerta vidriada para separar ambiente, living comedor separado con piso flotante, cocina equipada y con cubierta de granito, 1 dormitorio en suite con Walking closet , más ampliación techada y cerrada para escritorio o mas closet, 1 baño de visitas , 1 escritorio o dormitorio, 1 amplio dormitorio de servicio con closet y baño. |  | Segundo piso: Sala de estar , 3 amplios dormitorios con piso flotante, 1 baño. |  | Exterior: Terraza techada, con cierre de lonas, jardín formado, amplia logia techada y cerrada, 1 bodega, riego automático, estacionamiento para 3 a 4 autos."
