url,precio_uf,banos,dormitorios,superficie_total,superficie_construida,superficie_util,estacionamiento,latitud,longitud,informacion_adicional
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casa-peluqueria-en-maipu-luminosa-y-bonita-metrotren-a-pasos/2102529,2497,2,3,93,82,11.00,Si,-33.55061939,-70.79310466,"Informacion adicional Bonita Casa en villa bosques del sur por camino a Melipilla, buen barrio. 3D/2B , bano de visita en primer piso y bano con ducha en el segundo piso, jardin, patio, cocina ampliada muy grande regularizada en la Municipalidad. Todos los papeles en orden. Barrio tranquilo, comercio cerca, supermercados a pasos, farmacias, ferias libres. transporte cerca. PROXIMA ESTACION METROTREN CERCANA A PASOS. (Ya en construccion) video de la casa: https://youtu.be/asXhrv1TWCc CORREDOR: - Luis Correa - 56998835577 (Contactarlo a el directamente) • La casa se encuentra ARRENDADA y solo se mostrara a quienes tengan su credito hipotecario APROBADO. Gracias ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-cactus-tres-800/3717392,2900,2,3,108,66,42.00,Si,-33.561115,-70.791336,"Informacion adicional Casa En Condominio, 3 Dorm. 2 Banos Piscina Ciudad Satelite. Esta en un pequeno condominio con 14 casas, estacionamiento amplio, areas verdes y piscina."
https://www.toctoc.com/propiedades/compraparticularsr/casa/san-bernardo/casas-lago-brown-1393-46/3620152,2520,2,3,96,60,36.00,Si,-33.61085744,-70.67702961,"Informacion adicional condominio san Alberto de nos , nos san Bernardo lago Brown 1393 Casa de 2 pisos 60 M2 pareo simple Tiene 3 dormitorios con piso flotante y closet ( 2 dormitorios para cama 2 plaza y 1 dormitorio para cama simple ? , 2 banos uno en primer piso y el otro en el segundo piso con ventilacion natural Cocina tradicional,amoblada , living comedor ,estacionamiento para 2 vehiculos , patio techado y reja de antejardin ceramica en antejardin patio y pasillo cercano a autopista central y acceso sur a 15 minutos del metro y 10 minutos a estacion San Bernardo del metrotren condominio de 50 casas aprox gasto comun de $35.000 aprox locomocion colectiva a 1 precio de venta inferior al valor de tasacion por tinsa opcion de bono pie 10% ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-psj-brisas-de-maipu/3593509,2165,1,2,141.00,90,51.00,No,-33.511994,-70.793095,"Informacion adicional Se vende casa en Pasaje Brisas de Maipu, Villa Los Robles 2, casa de 2 pisos en excelente estado de conservacion, muy buena iluminacion, en pasaje cerrado de noche con rejas a control remoto, cercana a locales comerciales, colegios, autopista, vecindad con vida familiar."
https://www.toctoc.com/propiedades/compraparticularsr/casa/santiago/casas-longavi-1642/3310963,3131,1,2,99,78,21.00,Si,-33.468723,-70.672508,"Informacion adicional Linda casa ,antigua , toda solida. En estos momentos arrendada con buen canon de arrendamiento, para inversionistas., o para habitarla su comprador...!!! De muros Solidos, cielos altos , grandes ventanales., piso de tablas. Living comedor amplios, 2 dormitorios, 1 bano con jacuzzi, patio interior, cocina equipada. Estacionamiento para 1 auto., Restaurado todo el sistema electrico, instalaciones sanitarias bano y cocina. Buena conectividad, Sector Parque O'Higgins ,Metro Rodizzoni, a pasos de locomocion colectiva, supermercados. Parques. Club Hipico. Excenta de pago contribuciones. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casa-en-venta-villa-el-rosal-maipu/3727651,3950,3,3,130,126,4.00,No,-33.48363,-70.767531,"Informacion adicional Casa en venta Villa el Rosal, cerca de Mall Arauco Maipu y estacion de metro Del Sol. Excelente conectividad con autopista Americo Vespucio poniente. Lugar privilegiado por su entorno, con variedad de Supermercados, centros medicos, clinicas, bancos, colegios, parques y plazas, que entregan un lugar armonioso al sector. Barrio tranquilo y de alta plusvalia en la comuna. CARACTERISTICAS: Casa de dos pisos, contruida en Hormigon armado Living y comedor separados. - 3 Dormitorios (todos con aire acondicionado) ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/san-joaquin/casas-rubens-4879/3650570,3700,2,3,309.00,159,150.00,Si,-33.501958,-70.631219,"Informacion adicional Casa antigua con local comercial, excelente ubicacion. Ideal para reconstruir y dejar 3 locales comerciales dado que por el costado da a calle San Nicolas y tiene 18 metros de largo. Vivienda solida que necesita inversion para quedar en perfecto estado."
https://www.toctoc.com/propiedades/compraparticularsr/casa/quinta-normal/casa-quinta-normal-3d-1b-3e-70-m2-const-205-m2-terreno-embajador-gomez/3598731,3490,1,3,205,70,135.00,Si,-33.419662,-70.69606,"Informacion adicional Se Vende Hermosa Casa recien remodelada, acogedora, amplia, comoda y con excelentes accesos 205 m2 de terreno / 70 m2 construidos /3Dorm/1Banos/3 estacionamientos/Porton Corredera. La Casa se encuentra ubicada en Embajador Gomez, Comuna de Quinta Normal. Se trata de un barrio tradicional, consolidado, tranquilo y familiar. Esta cercana a avenida principal Carrascal, colegios, carabineros, locales de comida, farmacias, vias de acceso directo a autopistas, municipalidad, centro de salud, entre otros. La propiedad tiene 70 m2 construidos, terreno con un total de 205 m2. Cuenta con living, comedor, cocina, 3 dormitorios, 1 bano. Ademas con un patio amplio, el cual se encuentra techado y permite el espacio para 2 o 3 vehiculos. ... Leer mas"
https://www.toctoc.com/propiedades/compraparticularsr/casa/lo-prado/casa-los-copihues-1-2-cuadra-de-avda-san-pablo/3845847,3567,2,5,204,140,64.00,No,-33.443822,-70.733684,"Informacion adicional Casa impecable bajo valor de mercado solo por Junio. Se vende hermosa casa en la mejor calle de Lo Prado, Avda Los Copihues a ½ cuadra de Av San Pablo, y a pasos de metro linea 1 y 5. Corresponde a una vivienda grande con 1 ROL, que se dividido en dos comodas viviendas. Una cuenta con 3 dormitorios, 1 bano, cocina integrada con comedor y living y patio. La segunda cuenta con 2 dormitorios, 1 bano, living y cocina integrada con comedor y patio. Ambas viviendas con muy buena luz natural, adecuados espacios, buen estado de conservacion. No cuenta con estacionamiento Soporta sin problemas segundo piso, ya que su estructura es de albanileria con pilares de hormigon armado y de techumbre viga de Roble. Es una excelente inversion. (Actualmente ambas viviendas arrendadas) Favor contactar solo reales interesados, en lo posible con credito pre aprobado. Favor no llamar corredores."
https://www.toctoc.com/propiedades/compraparticularsr/casa/maipu/casas-victor-hugo-la-colonia-0000/3556437,4076,1,3,170,90,80.00,No,-33.512448,-70.75794,"Informacion adicional Esta casa cuenta con una ubicacion privilegiada en el barrio civico, a dos cuadras del metro Plaza Maipu, esta casa te brinda la oportunidad de disfrutar de todas las comodidades de vivir cerca del transporte publico, lo que facilita tus desplazamientos diarios. Caracteristicas: - Casa de dos pisos. Living, comedor, dormitorio principal, bano y cocina en primer piso, 2 dormitorios con closet ambos en segundo piso. Amplio patio trasero y estacionamiento para tres vehiculos, antejardin. El exterior de la casa no se queda atras. Con un amplio patio trasero hermoso, podras disfrutar de momentos al aire libre, organizar asados con amigos o simplemente relajarte y disfrutar de la tranquilidad. Tambien hay un espacio de estacionamiento para garantizar tu comodidad y seguridad. Ademas de su ubicacion privilegiada cerca del metro de Maipu, dos cuadras, esta casa se encuentra en un vecindario tranquilo y seguro, con acceso a una variedad de servicios y comodidades. Tiendas, restaurantes, parques y centros educativos estan a poca distancia, lo que te permite disfrutar de una vida conveniente y sin preocupaciones. ... Leer mas"
