Titulo;Precio;Banos;Fecha;Piezas;Superficie Construida;Superficie Total;Estacionamiento;Lugar;Latitud;Longitud;Corredora
Nunoa Pedro Lobos;293062500;2;28-06-2025;4;150;200;1;Nunoa;-334.643.646;-705.785.539;Corredora Fuentes Propiedades
Colina Laguna Piedra Roja;761962500;5;28-06-2025;5;256;1280;3;Colina;-33.276.525;-70.630.183;Corredora Fuentes Propiedades
Conchali Nicanor Molinare;95000000;1;27-06-2025;2;63;160;;Conchali;-333.841.797;-706.594.021;Andrali Propiedades Spa
Maipu Los Baritonos;106284000;1;27-06-2025;2;46;144;1;Maipu;-334.908.508;-707.628.699;Maison & Corredores de propiedades
Macul El Libano 2925;300000000;1;27-06-2025;4;94;600;4;Macul;-334.819.309;-705.886.797;Maison & Corredores de propiedades
Maipu Quilapayun & German Garces;110000000;1;27-06-2025;3;52;125;1;Maipu;-3.352.713.610.000.000;-707.852.276;Maison & Corredores de propiedades
Puente Alto Nvo Continente;99000000;1;27-06-2025;3;50;117;2;Puente Alto;-335.659.399.722.398;-705.695.002.818.558;
Conchali Sandra 1437;120000000;2;27-06-2025;3;;160;3;Conchali;-333.818.078;-706.673.143;Urbanet
San Ramon Pasaje 3 Oriente;78000000;1;27-06-2025;2;60;200;1;San Ramon;-33.528.892.568.958.100;-7.063.699.675.027.910;Santorcuato y Faruk
Maipu Guayaquil 3093;115000000;3;27-06-2025;4;146;300;3;Maipu;-3.349.888.850.000.000;-707.714.156;Silvana Guillen Propiedades
Lo Prado Juan Davalos 101;135000000;2;27-06-2025;4;137;152;2;Lo Prado;-3.345.442.269.999.990;-707.181.063;Silvana Guillen Propiedades
La Pintana Santo Tomas;46000000;1;26-06-2025;3;;;;La Pintana;-335.576.745;-706.214.984;Evelyn Carrillo Santander
Puente Alto Villa Altos del Maipo;60000000;1;26-06-2025;3;;;1;Puente Alto;-336.304.083;-7.061.495.769.999.990;Evelyn Carrillo Santander
Puente Alto Luis Matte Larrain;70000000;2;26-06-2025;3;;;;Puente Alto;-335.859.349;-705.782.724;Evelyn Carrillo Santander
Puente Alto Salar de Pular;68000000;1;26-06-2025;4;;;1;Puente Alto;-335.718.276;-706.108.751;Evelyn Carrillo Santander
Quilicura Las ilusiones;74000000;1;26-06-2025;3;68;68;2;Quilicura;-33.367.266.763.400.300;-7.074.102.587.545.470;Veronica Jara Zuñiga
Cerrillos Lucerna;180000000;2;26-06-2025;3;90;226;2;Cerrillos;-334.828.662;-70.700.125;Gesinprop Gestión Inmobiliaria
Lampa Volcan Burney;120000000;1;26-06-2025;3;55;148;1;Lampa;-333.286.501;-707.708.585;Gesinprop Gestión Inmobiliaria
Maipu Presidente Carlos Davila;110000000;2;26-06-2025;3;56;105;2;Maipu;-335.038.533;-707.812.022;Gesinprop Gestión Inmobiliaria
La Florida Jardin Alto;279386250;4;25-06-2025;3;180;300;3;La Florida;-335.335.578;-705.587.358;
Calera de Tango El Tanguito;504067500;5;24-06-2025;4;284;5100;;Calera de Tango;-336.090.075;-707.660.619;Sgq Propiedades
Puente Alto Avenida Troncal San Francisco;142000000;2;24-06-2025;4;80;105;2;Puente Alto;-335.867.463;-705.623.924;Propiedades Pavez
Lampa Los Espinos;68500000;1;24-06-2025;3;78;87;1;Lampa;-332.869.144;-708.830.338;Casol Propiedades
Lampa Los Alerces;68000000;1;24-06-2025;4;50;78;2;Lampa;-332.864.891;-708.826.389;Casol Propiedades
La Florida Cerro Nielol;125000000;2;24-06-2025;3;60;123;2;La Florida;-33.545.736;-705.876.043;
Maipu Costanera Sur Zanjon de la Aguada;130000000;3;24-06-2025;4;74;142;2;Maipu;-334.995.818;-707.864.465;Gesinprop Gestión Inmobiliaria
Padre Hurtado Av. San Ignacio 1;85000000;1;24-06-2025;3;45;70;3;Padre Hurtado;-335.810.502;-708.107.991;
San Bernardo Villa Chena San Bernardo;134000000;2;24-06-2025;3;87;208;3;San Bernardo;-33.585.540.958.288.100;-706.974.722.864.863;
Maipu Asuncion 2800;80000000;2;23-06-2025;3;100;67;1;Maipu;-335.022.802;-7.079.650.149.999.990;Gesinprop Gestión Inmobiliaria
Maipu Avenida Portales & La Galaxia;69000000;1;23-06-2025;3;60;;1;Maipu;-33.519.628.499.999.900;-707.943.825;
La Florida Los Manantiales;166000000;2;23-06-2025;3;68;188;2;La Florida;-335.456.109;-70.576.936;
Maipu Avenida Presidente Jorge Alessandri Rodriguez & Avenida El Rosal;199282500;3;23-06-2025;3;82;93;3;Maipu;-334.824.695;-707.628.198;
El Bosque Luis Barros Borgono 431;145000000;5;23-06-2025;6;136;380;2;El Bosque;-335.512.283;-7.067.859.399.999.990;Propiedades y Administración DS spa
La Florida Leufu 9456;212958750;3;23-06-2025;3;91;180;1;La Florida;-3.353.932.249.999.990;-705.498.602;Mgh Solución Inmobiliaria
Puente Alto Cl. Loma Verde 3045;135000000;3;23-06-2025;3;75;;1;Puente Alto;-336.120.578;-705.416.855;Mgh Solución Inmobiliaria
Nunoa Los Jardines 523;363006750;4;23-06-2025;5;140;170;2;Nunoa;-33.460.343;-705.894.709;Mgh Solución Inmobiliaria
Maipu Guard Riquelme;118000000;1;23-06-2025;3;140;147;1;Maipu;-335.008.253;-707.504.137;Gesinprop Gestión Inmobiliaria
